run,classname,last,count,delta,lenmean,lensd,lenmax
15,ActiveSupport::Callbacks::CallbackChain,8,11,3,0.454545,0.820200,2.000000
15,ActiveSupport::Callbacks::CallbackChain,8,11,3,0.454545,0.820200,2.000000
15,File,11,13,2,,,
15,Thread,9,11,2,,,
15,Thread,9,11,2,,,
15,ActiveSupport::Callbacks::CallbackChain,8,11,3,0.454545,0.820200,2.000000
18,Float,315480,113234,-202246,,,
18,String,37954,39389,1435,28.664399,83.803890,4096.000000
18,Array,3116,5058,1942,3.824832,23.768363,513.000000
18,Regexp,972,989,17,,,
18,Proc,561,647,86,,,
18,Hash,501,524,23,11.333969,45.609837,521.000000
18,Time,239,233,-6,,,
18,MatchData,138,218,80,1.288991,0.871446,6.000000
18,YAML::Syck::Scalar,94,170,76,,,
18,Mongrel::Stats,127,104,-23,,,
18,HashWithIndifferentAccess,24,26,2,2.307692,1.463400,4.000000
18,StringIO,21,15,-6,554.933333,1157.829710,3689.000000
18,File,13,14,1,,,
18,ActiveSupport::Callbacks::CallbackChain,11,13,2,0.384615,0.767948,2.000000
19,Float,113234,245705,132471,,,
19,String,39389,40316,927,29.133396,83.608951,4096.000000
19,Array,5058,6335,1277,3.445777,21.383891,513.000000
19,Regexp,989,992,3,,,
19,Proc,647,711,64,,,
19,Hash,524,541,17,11.417745,45.395864,521.000000
19,Time,233,271,38,,,
19,YAML::Syck::Scalar,170,232,62,,,
19,MatchData,218,232,14,1.297414,0.883907,6.000000
19,Range,163,164,1,,,
19,Mongrel::Stats,104,126,22,,,
19,StringIO,15,18,3,471.166667,1068.696966,3689.000000
19,File,14,15,1,,,
19,Bignum,13,15,2,,,
19,Thread,10,11,1,,,
20,Float,245705,89431,-156274,,,
20,String,40316,35524,-4792,28.608603,95.631407,5402.000000
20,Array,6335,2291,-4044,6.575295,34.769822,513.000000
20,Regexp,992,948,-44,,,
20,Proc,711,457,-254,,,
20,Hash,541,376,-165,13.039894,51.410723,521.000000
20,Range,164,163,-1,,,
20,Time,271,151,-120,,,
20,Mongrel::Stats,126,81,-45,,,
20,Mutex,16,14,-2,,,
20,YAML::Syck::Scalar,232,14,-218,,,
20,Bignum,15,13,-2,,,
20,MatchData,232,13,-219,1.461538,1.126601,4.000000
20,File,15,12,-3,,,
21,Float,89431,53417,-36014,,,
21,String,35524,36475,951,29.769596,106.962849,7136.000000
21,Float,89431,108181,18750,,,
21,Array,2291,1894,-397,7.847941,38.101625,518.000000
21,String,35524,36923,1399,30.041519,106.460749,7136.000000
21,Float,89431,111266,21835,,,
21,Class,983,992,9,,,
21,Array,2291,1949,-342,7.829143,37.656042,518.000000
21,String,35524,36771,1247,29.854586,106.603176,7136.000000
21,Regexp,948,949,1,,,
21,Class,983,992,9,,,
21,Array,2291,1933,-358,7.822556,37.801624,518.000000
21,Hash,376,484,108,11.613636,46.125375,521.000000
21,Regexp,948,950,2,,,
21,Class,983,992,9,,,
21,Proc,457,444,-13,,,
21,Float,89431,120318,30887,,,
21,Hash,376,487,111,12.078029,46.930932,521.000000
21,Regexp,948,950,2,,,
21,Module,397,404,7,,,
21,String,35524,37396,1872,30.491122,105.954124,7136.000000
21,Proc,457,448,-9,,,
21,Hash,376,487,111,11.938398,46.635707,521.000000
21,Time,151,144,-7,,,
21,Array,2291,2028,-263,7.787968,36.962766,518.000000
21,Module,397,404,7,,,
21,Proc,457,448,-9,,,
21,Mongrel::Stats,81,75,-6,,,
21,Class,983,992,9,,,
21,Time,151,184,33,,,
21,Module,397,404,7,,,
21,YAML::Syck::Scalar,14,28,14,,,
21,Regexp,948,952,4,,,
21,Mongrel::Stats,81,113,32,,,
21,Time,151,173,22,,,
21,ActionView::ReloadableTemplate,21,25,4,,,
21,Hash,376,494,118,12.072874,46.975791,521.000000
21,YAML::Syck::Scalar,14,28,14,,,
21,Mongrel::Stats,81,102,21,,,
21,Set,18,21,3,65.333333,152.712584,521.000000
21,Proc,457,452,-5,,,
21,ActionView::ReloadableTemplate,21,25,4,,,
21,YAML::Syck::Scalar,14,28,14,,,
21,StringIO,9,18,9,657.166667,1834.267741,7136.000000
21,Module,397,404,7,,,
21,Set,18,22,4,62.363636,149.681740,521.000000
21,ActionView::ReloadableTemplate,21,25,4,,,
21,NewRelic::MethodTraceStats,8,16,8,,,
21,Time,151,197,46,,,
21,StringIO,9,18,9,657.166667,1834.267741,7136.000000
21,Set,18,22,4,62.363636,149.681740,521.000000
21,Mime::Type,14,15,1,,,
21,Mongrel::Stats,81,124,43,,,
21,NewRelic::MethodTraceStats,8,16,8,,,
21,StringIO,9,18,9,657.166667,1834.267741,7136.000000
21,File,12,11,-1,,,
21,YAML::Syck::Scalar,14,28,14,,,
21,Mime::Type,14,15,1,,,
21,NewRelic::MethodTraceStats,8,16,8,,,
21,ActionView::ReloadableTemplate,21,25,4,,,
22,MatchData,6,13,7,1.692308,1.315587,4.000000
23,Set,22,24,2,57.166667,144.105537,521.000000
24,MatchData,13,23,10,1.521739,1.038774,4.000000
24,NoMethodError,7,17,10,,,
25,Float,120318,209712,89394,,,
25,Float,120318,269018,148700,,,
25,String,37396,37436,40,30.210065,106.235732,7136.000000
25,String,37396,41008,3612,32.225249,103.962419,7136.000000
25,Array,2028,2441,413,6.319541,33.572888,518.000000
25,Array,2028,7026,4998,3.641048,20.468835,518.000000
25,Regexp,952,951,-1,,,
25,Regexp,952,958,6,,,
25,Proc,452,539,87,,,
25,Proc,452,706,254,,,
25,Hash,494,495,1,11.737374,46.557436,521.000000
25,Hash,494,546,52,11.923077,45.750876,521.000000
25,Time,197,175,-22,,,
25,Time,197,276,79,,,
25,YAML::Syck::Scalar,28,93,65,,,
25,YAML::Syck::Scalar,28,272,244,,,
25,Mongrel::Stats,124,90,-34,,,
25,Mongrel::Stats,124,146,22,,,
25,Set,24,25,1,54.960000,141.502203,521.000000
25,MatchData,23,72,49,2.097222,2.110735,8.000000
25,NoMethodError,17,18,1,,,
25,NoMethodError,17,64,47,,,
25,MatchData,23,18,-5,2.944444,2.754082,8.000000
25,Set,24,25,1,54.960000,141.502203,521.000000
25,Bignum,13,17,4,,,
25,StringIO,18,24,6,500.958333,1601.126926,7136.000000
25,StringIO,18,12,-6,979.583333,2204.397112,7136.000000
25,Bignum,13,21,8,,,
25,ActiveRecord::ConnectionAdapters::MysqlColumn,6,12,6,,,
25,ActiveRecord::ConnectionAdapters::MysqlColumn,6,18,12,,,
26,TypeError,2,16,14,,,
26,ActiveRecord::DynamicFinderMatch,6,14,8,,,
26,ActiveRecord::DynamicScopeMatch,6,14,8,,,
26,Thread,9,11,2,,,
27,Float,269018,124289,-144729,,,
27,String,41008,37878,-3130,30.381673,105.979155,7136.000000
27,Array,7026,4308,-2718,4.479573,25.646619,518.000000
27,Regexp,958,950,-8,,,
27,Proc,706,569,-137,,,
27,Hash,546,498,-48,11.744980,46.618677,521.000000
27,Time,276,171,-105,,,
27,YAML::Syck::Scalar,272,122,-150,,,
27,Mongrel::Stats,146,79,-67,,,
27,NoMethodError,64,22,-42,,,
27,MatchData,72,20,-52,2.600000,2.683282,8.000000
27,Bignum,21,17,-4,,,
27,StringIO,24,15,-9,790.000000,1993.093074,7136.000000
27,ActiveRecord::ConnectionAdapters::MysqlColumn,18,12,-6,,,
28,Float,124289,248920,124631,,,
28,String,37878,38815,937,30.936442,105.386893,7136.000000
28,Array,4308,5589,1281,3.910360,22.694116,518.000000
28,Regexp,950,953,3,,,
28,Proc,569,633,64,,,
28,Hash,498,515,17,11.829126,46.386235,521.000000
28,Time,171,209,38,,,
28,YAML::Syck::Scalar,122,184,62,,,
